ticker,headline
NOVA,NovaGrid signs multi-year storage contract with European utility
NOVA,Analysts raise concern about lithium input cost volatility
NOVA,Company announces strong backlog conversion for grid batteries
NOVA,New software platform improves battery dispatch efficiency
AURA,Aura Health wins hospital AI automation contract
AURA,Regulators request additional documentation on clinical workflow model
AURA,Customer retention improves after deployment of patient risk suite
AURA,Healthcare AI spending remains resilient despite budget pressure
ORBT,OrbitPay expands fraud analytics product to Southeast Asia
ORBT,Merchant lending losses tick higher in latest quarter
ORBT,Payment volume growth slows as consumer demand moderates
ORBT,New bank partnership improves settlement reliability
KRYN,Kryon Robotics delays shipment of next-generation warehouse robot
KRYN,Large retailer signs pilot agreement for autonomous picking system
KRYN,Component shortage weighs on quarterly production
KRYN,Management reiterates long-term automation demand outlook
